student_id,iq_test_marks,study_hours_per_day,extra_activity,time_spent_on_extra_activity_hrs,attended_academic_activity,courses_count,attendance_percentage,kan_marks,english_marks,maths_marks,chemistry_marks,biology_or_cs_marks,physics_marks,average_marks,capability_score,result,confidence
1,65.9,0.52,No,0.5,No,1,71.8,44.7,56.2,69.7,63.6,48.9,49.1,55.4,0.4957,Fail,Low
2,79.6,2.57,Yes,3.9,No,6,70.4,78.1,82.0,100.0,82.1,81.0,83.7,84.5,0.7337,Pass,High
3,59.6,1.51,No,0.0,No,1,69.4,62.7,69.2,52.8,74.7,51.4,45.6,59.4,0.5038,Fail,Low
4,58.9,0.84,No,0.0,No,3,68.8,83.8,75.9,45.7,47.9,35.2,64.1,58.8,0.468,Fail,Low
5,100.0,1.96,Yes,2.0,No,8,82.3,97.0,98.6,100.0,100.0,86.1,100.0,97.0,0.8353,Pass,High
6,97.9,1.81,No,0.0,No,2,79.0,80.6,53.7,100.0,94.1,97.5,80.9,84.5,0.7594,Pass,High
7,71.9,0.0,No,0.0,No,2,68.2,65.1,37.8,46.9,62.3,56.9,57.2,54.4,0.5021,Fail,Low
8,75.6,0.43,No,1.1,No,2,66.2,63.7,55.9,57.8,74.6,54.4,60.1,61.1,0.5465,Fail,Medium
9,85.4,1.23,Yes,0.5,No,4,81.2,77.4,72.5,76.2,90.5,87.2,80.7,80.8,0.7014,Pass,High
10,94.9,1.88,No,0.2,No,1,70.6,72.5,87.2,97.2,100.0,79.6,64.2,83.4,0.7358,Pass,High
11,90.1,0.0,No,0.0,No,5,68.5,55.2,77.3,61.6,98.4,43.8,57.4,65.6,0.6153,Pass,Medium
12,44.1,1.51,No,0.6,No,4,65.8,55.0,18.4,31.5,32.0,65.1,61.5,43.9,0.4124,Fail,Low
13,75.5,2.46,Yes,3.0,Yes,2,74.0,82.6,73.9,81.4,100.0,98.1,47.2,80.5,0.72,Pass,High
14,74.6,0.34,No,0.7,No,2,59.5,64.3,50.1,52.0,43.8,65.1,61.4,56.1,0.5284,Fail,Medium
15,97.1,0.61,Yes,4.6,Yes,5,62.7,100.0,93.8,64.4,83.3,89.8,85.2,86.1,0.7535,Pass,High
16,87.7,0.0,Yes,3.3,No,5,80.7,88.4,61.6,87.4,63.8,69.4,85.5,76.0,0.6614,Pass,High
17,30.0,0.85,No,0.4,Yes,3,54.4,16.1,54.9,32.7,38.5,38.1,55.9,39.4,0.3016,Fail,Low
